symbol,days,sharpe_net,sharpe_gross
RAYUSDT,1678,1.1854184887286503,1.2332422303388535
HNTUSDT,1218,1.119980441382028,1.2958064614909353
FTMUSDT,2007,0.9987020201984304,1.0916302805475049
ALTUSDT,789,0.9574806573546764,1.0320184697807784
MATICUSDT,1300,0.8960165665595053,0.9938068743960226
BNBUSDT,2234,0.8923510838546023,0.964083009349773
TRXUSDT,2260,0.8284856904993675,0.9110041127987396
ARKMUSDT,971,0.826534507743834,0.9041683240113219
THETAUSDT,2127,0.8085704169408743,0.8322269187214312
ANTUSDT,764,0.7981335752058839,0.8900255487755596
INJUSDT,1316,0.7794277943284974,0.8209057609677904
SOLUSDT,2017,0.7774129035892832,0.9345970624517388
NMRUSDT,1006,0.76565931977941,0.7626100318811655
BTCUSDT,2275,0.7333080213118912,0.9398063800884864
STXUSDT,1127,0.6839532852860483,0.7570641134412146
SRMUSDT,1242,0.6628092957028066,0.8295087252908614
ETHUSDT,2275,0.6413293195292806,0.8258506429123891
ADAUSDT,2244,0.6360446930569126,0.7642485255104944
DOGEUSDT,2062,0.6359603325531459,0.6853475210099099
CYBERUSDT,946,0.6333941411281493,0.7474780257398502
DYMUSDT,776,0.6305426163963554,0.7335672165237817
VETUSDT,2230,0.6090072760851531,0.7055466129543073
YGGUSDT,963,0.6061028682099211,0.6821500587692786
EGLDUSDT,2017,0.583594269698532,0.6322755263762022
ILVUSDT,865,0.5730871746481971,0.5763287805856556
KLAYUSDT,1625,0.5644792527242832,0.6336788944974617
RUNEUSDT,2027,0.5512988224939487,0.6010241823142103
OMUSDT,770,0.5350190654210509,0.7429302894734809
NEOUSDT,2227,0.533149761581301,0.6386078337719561
1000FLOKIUSDT,1053,0.5177903080703028,0.6078129297488921
XAIUSDT,805,0.510771423508454,0.5722167433809022
NFPUSDT,818,0.5073719880271222,0.48867613434819956
AVAXUSDT,2008,0.5044024857441991,0.6043287037750097
JOEUSDT,1091,0.49708934049055714,0.575124572018155
MDTUSDT,998,0.486764572022166,0.5685847634433773
FXSUSDT,1160,0.48056964592214607,0.5227738315267061
SANDUSDT,1884,0.46821356566383343,0.510335721477094
1000SATSUSDT,833,0.45854659484180765,0.42573518493607254
GMTUSDT,1469,0.4575820262237498,0.5124628080861178
TLMUSDT,1713,0.4448240387723393,0.48734081430668913
ACEUSDT,827,0.4313462698641218,0.4328504271778916
GRTUSDT,1921,0.4300395337708578,0.4676914620329242
IOTAUSDT,2184,0.42228806535703894,0.5422760591014386
IOTXUSDT,1686,0.42217877943579246,0.46631726988320416
AIUSDT,806,0.4189186663636483,0.3925342775556119
OPUSDT,1392,0.418633935186977,0.46436032642444175
IOSTUSDT,2223,0.412306074421434,0.5252325265480133
LOOMUSDT,895,0.4102569602411275,0.6333454112870327
GALAUSDT,1649,0.4084865531349733,0.43757065606844425
FTTUSDT,1440,0.3983766718084914,0.4583136436727991
RDNTUSDT,1084,0.3911012276563813,0.45883053617316155
XVSUSDT,1077,0.38483594574931196,0.4742421518130085
MANTAUSDT,796,0.37805640625840103,0.411600237320134
RIFUSDT,884,0.37657543744620875,0.43427451144232687
POLYXUSDT,882,0.37220832569619683,0.508554049275966
SEIUSDT,951,0.371222100640076,0.5309045794506123
PENDLEUSDT,971,0.3678866768924443,0.4532613347739985
